2024-05-22 12:02:11 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:02:17 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:02:44 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:03:53 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:04:03 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:06:53 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:07:22 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:07:48 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:07:54 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:09:16 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:09:39 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:09:39 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:09:58 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:10:32 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:14:52 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:15:15 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:15:15 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:15:42 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:15:58 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

2024-05-22 12:17:26 AM | info | Get All Movie | url: /api/movie/findAll | method: GET | body: undefined | userId: 86739eba-369c-4d22-bf72-52e08b55cd4c | 

